date,product_id,product_name,category,units_sold,revenue,unit_price,is_weekend,day_of_week,month,quarter,is_festival,festival_name,temperature,is_promotional,is_stockout,demand_score,date_parsed,days_since_start,week_of_year,day_of_month,units_sold_lag1,units_sold_lag7,revenue_lag1,units_sold_ma7,units_sold_ma30
2023-01-01,P001,Basmati Rice 5kg,Groceries,59,26550.0,450.0,True,Sunday,1,Q1,False,None,13.4,False,False,58.76,2023-01-01,0,52,1,,,,59.0,59.0
2023-01-02,P001,Basmati Rice 5kg,Groceries,49,22050.0,450.0,False,Monday,1,Q1,False,None,12.0,True,False,49.39,2023-01-02,1,1,2,59.0,,26550.0,47.285714285714285,50.63636363636363
2023-01-03,P001,Basmati Rice 5kg,Groceries,69,31050.0,450.0,False,Tuesday,1,Q1,False,None,12.7,True,False,69.37,2023-01-03,2,1,3,49.0,,22050.0,37.857142857142854,50.476190476190474
2023-01-04,P001,Basmati Rice 5kg,Groceries,49,22050.0,450.0,False,Wednesday,1,Q1,False,None,14.9,False,False,49.44,2023-01-04,3,1,4,69.0,,31050.0,69.0,55.166666666666664
2023-01-05,P001,Basmati Rice 5kg,Groceries,72,32400.0,450.0,False,Thursday,1,Q1,False,None,14.0,True,False,71.77,2023-01-05,4,1,5,49.0,,22050.0,48.57142857142857,53.9
2023-01-06,P001,Basmati Rice 5kg,Groceries,39,17550.0,450.0,False,Friday,1,Q1,False,None,10.7,False,False,38.9,2023-01-06,5,1,6,72.0,,32400.0,50.0,53.733333333333334
2023-01-07,P001,Basmati Rice 5kg,Groceries,47,21150.0,450.0,True,Saturday,1,Q1,False,None,8.4,False,False,47.39,2023-01-07,6,1,7,39.0,,17550.0,50.142857142857146,48.266666666666666
2023-01-08,P001,Basmati Rice 5kg,Groceries,48,21600.0,450.0,True,Sunday,1,Q1,False,None,12.7,False,False,47.69,2023-01-08,7,1,8,47.0,59.0,21150.0,45.42857142857143,48.166666666666664
2023-01-09,P001,Basmati Rice 5kg,Groceries,37,16650.0,450.0,False,Monday,1,Q1,False,None,13.5,False,False,36.5,2023-01-09,8,2,9,48.0,49.0,21600.0,40.42857142857143,45.266666666666666
2023-01-10,P001,Basmati Rice 5kg,Groceries,52,23400.0,450.0,False,Tuesday,1,Q1,False,None,16.2,False,False,51.69,2023-01-10,9,2,10,37.0,69.0,16650.0,78.28571428571429,52.8
